ability-shield		0
absorb-bulb		0
adrenaline-orb		0
aguav-berry	dragon	1
air-balloon		0
apicot-berry	ground	1
armor-fossil		0
aspear-berry	ice	1
assault-vest		0
auspicious-armor		0
babiri-berry	steel	1
belue-berry	electric	1
berry-juice		0
big-nugget		0
big-root		0
binding-band		0
black-belt	fighting	0
black-glasses	dark	0
black-sludge		0
bluk-berry	fire	1
blunder-policy		0
booster-energy		0
bottle-cap		0
bright-powder		0
bug-gem	bug	0
cell-battery		0
charcoal	fire	0
charti-berry	rock	1
cheri-berry	fire	1
chesto-berry	water	1
chilan-berry	normal	1
choice-band		0
choice-scarf		0
choice-specs		0
chople-berry	fighting	1
claw-fossil		0
clear-amulet		0
coba-berry	flying	1
colbur-berry	dark	1
cornn-berry	bug	1
cover-fossil		0
covert-cloak		0
custap-berry	ghost	1
damp-rock		0
dark-gem	dark	0
destiny-knot		0
dome-fossil		0
draco-plate	dragon	0
dragon-fang	dragon	0
dragon-gem	dragon	0
dread-plate	dark	0
durin-berry	water	1
earth-plate	ground	0
eject-button		0
eject-pack		0
electric-gem	electric	0
electric-seed		0
enigma-berry	bug	1
eviolite		0
expert-belt		0
fairy-feather	fairy	0
fairy-gem	fairy	0
fighting-gem	fighting	0
figy-berry	bug	1
fire-gem	fire	0
fist-plate	fighting	0
flame-orb		0
flame-plate	fire	0
float-stone		0
flying-gem	flying	0
focus-band		0
focus-sash		0
fossilized-bird		0
fossilized-dino		0
fossilized-drake		0
fossilized-fish		0
full-incense		0
galarica-cuff		0
galarica-wreath		0
ganlon-berry	ice	1
ghost-gem	ghost	0
gold-bottle-cap		0
grass-gem	grass	0
grassy-seed		0
grepa-berry	flying	1
grip-claw		0
ground-gem	ground	0
haban-berry	dragon	1
hard-stone	rock	0
heat-rock		0
heavy-duty-boots		0
helix-fossil		0
hondew-berry	ground	1
iapapa-berry	dark	1
ice-gem	ice	0
icicle-plate	ice	0
icy-rock		0
insect-plate	bug	0
iron-ball		0
iron-plate	steel	0
jaboca-berry	dragon	1
jaw-fossil		0
kasib-berry	ghost	1
kebia-berry	poison	1
kee-berry	fairy	1
kelpsy-berry	fighting	1
king-s-rock		0
lagging-tail		0
lansat-berry	flying	1
lax-incense		0
leftovers		0
leppa-berry	fighting	1
liechi-berry	grass	1
life-orb		0
light-clay		0
loaded-dice		0
lum-berry	flying	1
luminous-moss		0
macho-brace		0
magnet	electric	0
mago-berry	ghost	1
magost-berry	rock	1
mail		0
maranga-berry	dark	1
meadow-plate	grass	0
mental-herb		0
metal-coat	steel	0
metronome		0
micle-berry	rock	1
mind-plate	psychic	0
miracle-seed	grass	0
mirror-herb		0
misty-seed		0
muscle-band		0
mystic-water	water	0
nanab-berry	water	1
never-melt-ice	ice	0
nomel-berry	dragon	1
normal-gem	normal	0
occa-berry	fire	1
odd-incense	psychic	0
old-amber		0
oran-berry	poison	1
pamtre-berry	steel	1
passho-berry	water	1
payapa-berry	psychic	1
pecha-berry	electric	1
persim-berry	ground	1
petaya-berry	poison	1
pinap-berry	grass	1
pixie-plate	fairy	0
plume-fossil		0
poison-barb	poison	0
poison-gem	poison	0
pomeg-berry	ice	1
power-anklet		0
power-band		0
power-belt		0
power-bracer		0
power-herb		0
power-lens		0
power-weight		0
pretty-feather		0
protective-pads		0
psychic-gem	psychic	0
psychic-seed		0
punching-glove		0
qualot-berry	poison	1
quick-claw		0
rabuta-berry	ghost	1
rare-bone		0
rawst-berry	grass	1
razor-claw		0
razor-fang		0
razz-berry	steel	1
red-card		0
rindo-berry	grass	1
ring-target		0
rock-gem	rock	0
rock-incense	rock	0
rocky-helmet		0
room-service		0
root-fossil		0
rose-incense	grass	0
roseli-berry	fairy	1
rowap-berry	dark	1
safety-goggles		0
sail-fossil		0
salac-berry	fighting	1
scope-lens		0
sea-incense	water	0
sharp-beak	flying	0
shed-shell		0
shell-bell		0
shuca-berry	ground	1
silk-scarf	normal	0
silver-powder	bug	0
sitrus-berry	psychic	1
skull-fossil		0
sky-plate	flying	0
smooth-rock		0
snowball		0
soft-sand	ground	0
spell-tag	ghost	0
spelon-berry	dark	1
splash-plate	water	0
spooky-plate	ghost	0
starf-berry	psychic	1
steel-gem	steel	0
sticky-barb		0
stone-plate	rock	0
tamato-berry	psychic	1
tanga-berry	bug	1
terrain-extender		0
throat-spray		0
toxic-orb		0
toxic-plate	poison	0
twisted-spoon	psychic	0
utility-umbrella		0
wacan-berry	electric	1
water-gem	water	0
watmel-berry	fire	1
wave-incense	water	0
weakness-policy		0
wepear-berry	electric	1
white-herb		0
wide-lens		0
wiki-berry	rock	1
wise-glasses		0
yache-berry	ice	1
zap-plate	electric	0
zoom-lens		0
berry	poison	1
berserk-gene		0
bitter-berry	ground	1
burnt-berry	ice	1
gold-berry	psychic	1
ice-berry	grass	1
mint-berry	water	1
miracle-berry	flying	1
mystery-berry	fighting	1
pink-bow	normal	0
polkadot-bow	normal	0
prz-cure-berry	fire	1
psn-cure-berry	electric	1
